RUN	api.CombinedSimulations	combinedsimulations	1638907423554	 	3.3.1
USER	Get Token	1	START	1638907424543	1638907424543
REQUEST	1		GetToken	1638907424608	1638907424842	OK	 
USER	Get Token	1	END	1638907424543	1638907424919
USER	FooListSimulation	2	START	1638907434539	1638907434539
USER	BarListSimulation	3	START	1638907434539	1638907434539
USER	FooListSimulation	4	START	1638907435040	1638907435040
USER	BarListSimulation	6	START	1638907435040	1638907435040
REQUEST	2		FooList	1638907434549	1638907435491	OK	 
USER	FooListSimulation	2	END	1638907434539	1638907435499
USER	BarListSimulation	7	START	1638907435539	1638907435539
USER	FooListSimulation	5	START	1638907435539	1638907435539
USER	BarListSimulation	10	START	1638907436040	1638907436040
USER	FooListSimulation	8	START	1638907436049	1638907436049
USER	BarListSimulation	11	START	1638907436540	1638907436540
USER	FooListSimulation	9	START	1638907436549	1638907436549
USER	FooListSimulation	12	START	1638907437039	1638907437039
USER	BarListSimulation	14	START	1638907437040	1638907437040
USER	FooListSimulation	13	START	1638907437540	1638907437540
USER	BarListSimulation	15	START	1638907437543	1638907437543
REQUEST	3		BarList	1638907434549	1638907437928	OK	 
USER	BarListSimulation	3	END	1638907434539	1638907437932
USER	FooListSimulation	16	START	1638907438040	1638907438040
USER	BarListSimulation	18	START	1638907438040	1638907438040
USER	BarListSimulation	19	START	1638907438540	1638907438540
USER	FooListSimulation	17	START	1638907438540	1638907438540
REQUEST	4		FooList	1638907435043	1638907438630	KO	responseTimeInMillis.find.lessThanOrEqual(2000), 3587 is not less than or equal to 2000
USER	FooListSimulation	4	END	1638907435040	1638907438635
USER	FooListSimulation	20	START	1638907439040	1638907439040
USER	BarListSimulation	22	START	1638907439040	1638907439040
USER	FooListSimulation	21	START	1638907439540	1638907439540
USER	BarListSimulation	23	START	1638907439541	1638907439541
USER	FooListSimulation	24	START	1638907440040	1638907440040
USER	BarListSimulation	26	START	1638907440040	1638907440040
USER	FooListSimulation	25	START	1638907440540	1638907440540
USER	BarListSimulation	27	START	1638907440540	1638907440540
REQUEST	14		BarList	1638907437042	1638907440710	OK	 
USER	BarListSimulation	14	END	1638907437040	1638907440712
USER	FooListSimulation	28	START	1638907441040	1638907441040
USER	BarListSimulation	30	START	1638907441040	1638907441040
